country_name,country_group,group_type
Spain,European Union,World Bank
Estonia,European Union,World Bank
Finland,European Union,World Bank
France,European Union,World Bank
Greece,European Union,World Bank
Croatia,European Union,World Bank
Hungary,European Union,World Bank
Ireland,European Union,World Bank
Italy,European Union,World Bank
Lithuania,European Union,World Bank
Luxembourg,European Union,World Bank
Latvia,European Union,World Bank
Malta,European Union,World Bank
Netherlands,European Union,World Bank
Poland,European Union,World Bank
Portugal,European Union,World Bank
Romania,European Union,World Bank
Slovakia,European Union,World Bank
Slovenia,European Union,World Bank
Sweden,European Union,World Bank
Afghanistan,Heavily indebted poor countries (HIPC),World Bank
Burundi,Heavily indebted poor countries (HIPC),World Bank
Benin,Heavily indebted poor countries (HIPC),World Bank
Burkina Faso,Heavily indebted poor countries (HIPC),World Bank
Bolivia,Heavily indebted poor countries (HIPC),World Bank
Central African Republic,Heavily indebted poor countries (HIPC),World Bank
Côte d’Ivoire,Heavily indebted poor countries (HIPC),World Bank
Cameroon,Heavily indebted poor countries (HIPC),World Bank
Congo - Kinshasa,Heavily indebted poor countries (HIPC),World Bank
Congo - Brazzaville,Heavily indebted poor countries (HIPC),World Bank
Comoros,Heavily indebted poor countries (HIPC),World Bank
Eritrea,Heavily indebted poor countries (HIPC),World Bank
Ethiopia,Heavily indebted poor countries (HIPC),World Bank
Ghana,Heavily indebted poor countries (HIPC),World Bank
Guinea,Heavily indebted poor countries (HIPC),World Bank
Gambia,Heavily indebted poor countries (HIPC),World Bank
Guinea-Bissau,Heavily indebted poor countries (HIPC),World Bank
Guyana,Heavily indebted poor countries (HIPC),World Bank
Honduras,Heavily indebted poor countries (HIPC),World Bank
Haiti,Heavily indebted poor countries (HIPC),World Bank
Liberia,Heavily indebted poor countries (HIPC),World Bank
Madagascar,Heavily indebted poor countries (HIPC),World Bank
Mali,Heavily indebted poor countries (HIPC),World Bank
Mozambique,Heavily indebted poor countries (HIPC),World Bank
Mauritania,Heavily indebted poor countries (HIPC),World Bank
Malawi,Heavily indebted poor countries (HIPC),World Bank
Niger,Heavily indebted poor countries (HIPC),World Bank
Nicaragua,Heavily indebted poor countries (HIPC),World Bank
Rwanda,Heavily indebted poor countries (HIPC),World Bank
Sudan,Heavily indebted poor countries (HIPC),World Bank
Senegal,Heavily indebted poor countries (HIPC),World Bank
Sierra Leone,Heavily indebted poor countries (HIPC),World Bank
Somalia,Heavily indebted poor countries (HIPC),World Bank
São Tomé & Príncipe,Heavily indebted poor countries (HIPC),World Bank
Chad,Heavily indebted poor countries (HIPC),World Bank
Togo,Heavily indebted poor countries (HIPC),World Bank
Tanzania,Heavily indebted poor countries (HIPC),World Bank
Uganda,Heavily indebted poor countries (HIPC),World Bank
Zambia,Heavily indebted poor countries (HIPC),World Bank
Angola,IBRD only,World Bank
Albania,IBRD only,World Bank
Argentina,IBRD only,World Bank
Armenia,IBRD only,World Bank
Antigua & Barbuda,IBRD only,World Bank
Azerbaijan,IBRD only,World Bank
Bulgaria,IBRD only,World Bank
Bosnia & Herzegovina,IBRD only,World Bank
Belarus,IBRD only,World Bank
Belize,IBRD only,World Bank
Bolivia,IBRD only,World Bank
Brazil,IBRD only,World Bank
Botswana,IBRD only,World Bank
Chile,IBRD only,World Bank
China,IBRD only,World Bank
Colombia,IBRD only,World Bank
Costa Rica,IBRD only,World Bank
Dominican Republic,IBRD only,World Bank
Algeria,IBRD only,World Bank
Ecuador,IBRD only,World Bank
Egypt,IBRD only,World Bank
Gabon,IBRD only,World Bank
Georgia,IBRD only,World Bank
Equatorial Guinea,IBRD only,World Bank
Guatemala,IBRD only,World Bank
Croatia,IBRD only,World Bank
Indonesia,IBRD only,World Bank
India,IBRD only,World Bank
Iran,IBRD only,World Bank
Iraq,IBRD only,World Bank
Jamaica,IBRD only,World Bank
Jordan,IBRD only,World Bank
Kazakhstan,IBRD only,World Bank
St. Kitts & Nevis,IBRD only,World Bank
Lebanon,IBRD only,World Bank
Libya,IBRD only,World Bank
Sri Lanka,IBRD only,World Bank
Morocco,IBRD only,World Bank
Moldova,IBRD only,World Bank
Mexico,IBRD only,World Bank
North Macedonia,IBRD only,World Bank
Montenegro,IBRD only,World Bank
Mongolia,IBRD only,World Bank
Mauritius,IBRD only,World Bank
Malaysia,IBRD only,World Bank
Namibia,IBRD only,World Bank
Nauru,IBRD only,World Bank
Panama,IBRD only,World Bank
Peru,IBRD only,World Bank
Philippines,IBRD only,World Bank
Palau,IBRD only,World Bank
Poland,IBRD only,World Bank
Paraguay,IBRD only,World Bank
Romania,IBRD only,World Bank
Russia,IBRD only,World Bank
El Salvador,IBRD only,World Bank
Serbia,IBRD only,World Bank
Suriname,IBRD only,World Bank
Eswatini,IBRD only,World Bank
Seychelles,IBRD only,World Bank
Thailand,IBRD only,World Bank
Turkmenistan,IBRD only,World Bank
Trinidad & Tobago,IBRD only,World Bank
Tunisia,IBRD only,World Bank
Turkey,IBRD only,World Bank
Ukraine,IBRD only,World Bank
Uruguay,IBRD only,World Bank
Venezuela,IBRD only,World Bank
Vietnam,IBRD only,World Bank
South Africa,IBRD only,World Bank
Afghanistan,IDA & IBRD total,World Bank
Angola,IDA & IBRD total,World Bank
Albania,IDA & IBRD total,World Bank
Argentina,IDA & IBRD total,World Bank
Armenia,IDA & IBRD total,World Bank
Antigua & Barbuda,IDA & IBRD total,World Bank
Azerbaijan,IDA & IBRD total,World Bank
Burundi,IDA & IBRD total,World Bank
Benin,IDA & IBRD total,World Bank
Burkina Faso,IDA & IBRD total,World Bank
Bangladesh,IDA & IBRD total,World Bank
Bulgaria,IDA & IBRD total,World Bank
Bosnia & Herzegovina,IDA & IBRD total,World Bank
Belarus,IDA & IBRD total,World Bank
Belize,IDA & IBRD total,World Bank
Bolivia,IDA & IBRD total,World Bank
Brazil,IDA & IBRD total,World Bank
Bhutan,IDA & IBRD total,World Bank
Botswana,IDA & IBRD total,World Bank
Central African Republic,IDA & IBRD total,World Bank
Chile,IDA & IBRD total,World Bank
China,IDA & IBRD total,World Bank
Côte d’Ivoire,IDA & IBRD total,World Bank
Cameroon,IDA & IBRD total,World Bank
Congo - Kinshasa,IDA & IBRD total,World Bank
Congo - Brazzaville,IDA & IBRD total,World Bank
Colombia,IDA & IBRD total,World Bank
Comoros,IDA & IBRD total,World Bank
Cape Verde,IDA & IBRD total,World Bank
Costa Rica,IDA & IBRD total,World Bank
Djibouti,IDA & IBRD total,World Bank
Dominica,IDA & IBRD total,World Bank
Dominican Republic,IDA & IBRD total,World Bank
Algeria,IDA & IBRD total,World Bank
Ecuador,IDA & IBRD total,World Bank
Egypt,IDA & IBRD total,World Bank
Eritrea,IDA & IBRD total,World Bank
Ethiopia,IDA & IBRD total,World Bank
Fiji,IDA & IBRD total,World Bank
Micronesia (Federated States of),IDA & IBRD total,World Bank
Gabon,IDA & IBRD total,World Bank
Georgia,IDA & IBRD total,World Bank
Ghana,IDA & IBRD total,World Bank
Guinea,IDA & IBRD total,World Bank
Gambia,IDA & IBRD total,World Bank
Guinea-Bissau,IDA & IBRD total,World Bank
Equatorial Guinea,IDA & IBRD total,World Bank
Grenada,IDA & IBRD total,World Bank
Guatemala,IDA & IBRD total,World Bank
Guyana,IDA & IBRD total,World Bank
Honduras,IDA & IBRD total,World Bank
Croatia,IDA & IBRD total,World Bank
Haiti,IDA & IBRD total,World Bank
Indonesia,IDA & IBRD total,World Bank
India,IDA & IBRD total,World Bank
Iran,IDA & IBRD total,World Bank
Iraq,IDA & IBRD total,World Bank
Jamaica,IDA & IBRD total,World Bank
Jordan,IDA & IBRD total,World Bank
Kazakhstan,IDA & IBRD total,World Bank
Kenya,IDA & IBRD total,World Bank
Kyrgyzstan,IDA & IBRD total,World Bank
Cambodia,IDA & IBRD total,World Bank
Kiribati,IDA & IBRD total,World Bank
St. Kitts & Nevis,IDA & IBRD total,World Bank
Laos,IDA & IBRD total,World Bank
Lebanon,IDA & IBRD total,World Bank
Liberia,IDA & IBRD total,World Bank
Libya,IDA & IBRD total,World Bank
St. Lucia,IDA & IBRD total,World Bank
Sri Lanka,IDA & IBRD total,World Bank
Lesotho,IDA & IBRD total,World Bank
Morocco,IDA & IBRD total,World Bank
Moldova,IDA & IBRD total,World Bank
Madagascar,IDA & IBRD total,World Bank
Maldives,IDA & IBRD total,World Bank
Mexico,IDA & IBRD total,World Bank
Marshall Islands,IDA & IBRD total,World Bank
North Macedonia,IDA & IBRD total,World Bank
Mali,IDA & IBRD total,World Bank
Myanmar (Burma),IDA & IBRD total,World Bank
Montenegro,IDA & IBRD total,World Bank
Mongolia,IDA & IBRD total,World Bank
Mozambique,IDA & IBRD total,World Bank
Mauritania,IDA & IBRD total,World Bank
Mauritius,IDA & IBRD total,World Bank
Malawi,IDA & IBRD total,World Bank
Malaysia,IDA & IBRD total,World Bank
Namibia,IDA & IBRD total,World Bank
Niger,IDA & IBRD total,World Bank
Nigeria,IDA & IBRD total,World Bank
Nicaragua,IDA & IBRD total,World Bank
Nepal,IDA & IBRD total,World Bank
Nauru,IDA & IBRD total,World Bank
Pakistan,IDA & IBRD total,World Bank
Panama,IDA & IBRD total,World Bank
Peru,IDA & IBRD total,World Bank
Philippines,IDA & IBRD total,World Bank
Palau,IDA & IBRD total,World Bank
Papua New Guinea,IDA & IBRD total,World Bank
Poland,IDA & IBRD total,World Bank
Paraguay,IDA & IBRD total,World Bank
Romania,IDA & IBRD total,World Bank
Russia,IDA & IBRD total,World Bank
Rwanda,IDA & IBRD total,World Bank
Sudan,IDA & IBRD total,World Bank
Senegal,IDA & IBRD total,World Bank
Solomon Islands,IDA & IBRD total,World Bank
Sierra Leone,IDA & IBRD total,World Bank
El Salvador,IDA & IBRD total,World Bank
Somalia,IDA & IBRD total,World Bank
Serbia,IDA & IBRD total,World Bank
South Sudan,IDA & IBRD total,World Bank
São Tomé & Príncipe,IDA & IBRD total,World Bank
Suriname,IDA & IBRD total,World Bank
Eswatini,IDA & IBRD total,World Bank
Seychelles,IDA & IBRD total,World Bank
Syria,IDA & IBRD total,World Bank
Chad,IDA & IBRD total,World Bank
Togo,IDA & IBRD total,World Bank
Thailand,IDA & IBRD total,World Bank
Tajikistan,IDA & IBRD total,World Bank
Turkmenistan,IDA & IBRD total,World Bank
Timor-Leste,IDA & IBRD total,World Bank
Tonga,IDA & IBRD total,World Bank
Trinidad & Tobago,IDA & IBRD total,World Bank
Tunisia,IDA & IBRD total,World Bank
Turkey,IDA & IBRD total,World Bank
Tuvalu,IDA & IBRD total,World Bank
Tanzania,IDA & IBRD total,World Bank
Uganda,IDA & IBRD total,World Bank
Ukraine,IDA & IBRD total,World Bank
Uruguay,IDA & IBRD total,World Bank
Uzbekistan,IDA & IBRD total,World Bank
St. Vincent & Grenadines,IDA & IBRD total,World Bank
Venezuela,IDA & IBRD total,World Bank
Vietnam,IDA & IBRD total,World Bank
Vanuatu,IDA & IBRD total,World Bank
Samoa,IDA & IBRD total,World Bank
Kosovo,IDA & IBRD total,World Bank
Yemen,IDA & IBRD total,World Bank
South Africa,IDA & IBRD total,World Bank
Zambia,IDA & IBRD total,World Bank
Zimbabwe,IDA & IBRD total,World Bank
Afghanistan,IDA total,World Bank
Burundi,IDA total,World Bank
Benin,IDA total,World Bank
Burkina Faso,IDA total,World Bank
Bangladesh,IDA total,World Bank
Bhutan,IDA total,World Bank
Central African Republic,IDA total,World Bank
Côte d’Ivoire,IDA total,World Bank
Cameroon,IDA total,World Bank
Congo - Kinshasa,IDA total,World Bank
Congo - Brazzaville,IDA total,World Bank
Comoros,IDA total,World Bank
Cape Verde,IDA total,World Bank
Djibouti,IDA total,World Bank
Dominica,IDA total,World Bank
Eritrea,IDA total,World Bank
Ethiopia,IDA total,World Bank
Fiji,IDA total,World Bank
Micronesia (Federated States of),IDA total,World Bank
Ghana,IDA total,World Bank
Guinea,IDA total,World Bank
Gambia,IDA total,World Bank
Guinea-Bissau,IDA total,World Bank
Grenada,IDA total,World Bank
Guyana,IDA total,World Bank
Honduras,IDA total,World Bank
Haiti,IDA total,World Bank
Kenya,IDA total,World Bank
Kyrgyzstan,IDA total,World Bank
Cambodia,IDA total,World Bank
Kiribati,IDA total,World Bank
Laos,IDA total,World Bank
Liberia,IDA total,World Bank
St. Lucia,IDA total,World Bank
Lesotho,IDA total,World Bank
Madagascar,IDA total,World Bank
Maldives,IDA total,World Bank
Marshall Islands,IDA total,World Bank
Mali,IDA total,World Bank
Myanmar (Burma),IDA total,World Bank
Mozambique,IDA total,World Bank
Mauritania,IDA total,World Bank
Malawi,IDA total,World Bank
Niger,IDA total,World Bank
Nigeria,IDA total,World Bank
Nicaragua,IDA total,World Bank
Nepal,IDA total,World Bank
Pakistan,IDA total,World Bank
Papua New Guinea,IDA total,World Bank
Rwanda,IDA total,World Bank
Sudan,IDA total,World Bank
Senegal,IDA total,World Bank
Solomon Islands,IDA total,World Bank
Sierra Leone,IDA total,World Bank
Somalia,IDA total,World Bank
South Sudan,IDA total,World Bank
São Tomé & Príncipe,IDA total,World Bank
Syria,IDA total,World Bank
Chad,IDA total,World Bank
Togo,IDA total,World Bank
Tajikistan,IDA total,World Bank
Timor-Leste,IDA total,World Bank
Tonga,IDA total,World Bank
Tuvalu,IDA total,World Bank
Tanzania,IDA total,World Bank
Uganda,IDA total,World Bank
Uzbekistan,IDA total,World Bank
St. Vincent & Grenadines,IDA total,World Bank
Vanuatu,IDA total,World Bank
Samoa,IDA total,World Bank
Kosovo,IDA total,World Bank
Yemen,IDA total,World Bank
Zambia,IDA total,World Bank
Zimbabwe,IDA total,World Bank
Cameroon,IDA blend,World Bank
Congo - Brazzaville,IDA blend,World Bank
Cape Verde,IDA blend,World Bank
Dominica,IDA blend,World Bank
Fiji,IDA blend,World Bank
Grenada,IDA blend,World Bank
Kenya,IDA blend,World Bank
St. Lucia,IDA blend,World Bank
Nigeria,IDA blend,World Bank
Pakistan,IDA blend,World Bank
Papua New Guinea,IDA blend,World Bank
Timor-Leste,IDA blend,World Bank
Uzbekistan,IDA blend,World Bank
St. Vincent & Grenadines,IDA blend,World Bank
Zimbabwe,IDA blend,World Bank
Afghanistan,IDA only,World Bank
Burundi,IDA only,World Bank
Benin,IDA only,World Bank
Burkina Faso,IDA only,World Bank
Bangladesh,IDA only,World Bank
Bhutan,IDA only,World Bank
Central African Republic,IDA only,World Bank
Côte d’Ivoire,IDA only,World Bank
Congo - Kinshasa,IDA only,World Bank
Comoros,IDA only,World Bank
Djibouti,IDA only,World Bank
Eritrea,IDA only,World Bank
Ethiopia,IDA only,World Bank
Micronesia (Federated States of),IDA only,World Bank
Ghana,IDA only,World Bank
Guinea,IDA only,World Bank
Gambia,IDA only,World Bank
Guinea-Bissau,IDA only,World Bank
Guyana,IDA only,World Bank
Honduras,IDA only,World Bank
Haiti,IDA only,World Bank
Kyrgyzstan,IDA only,World Bank
Cambodia,IDA only,World Bank
Kiribati,IDA only,World Bank
Laos,IDA only,World Bank
Liberia,IDA only,World Bank
Lesotho,IDA only,World Bank
Madagascar,IDA only,World Bank
Maldives,IDA only,World Bank
Marshall Islands,IDA only,World Bank
Mali,IDA only,World Bank
Myanmar (Burma),IDA only,World Bank
Mozambique,IDA only,World Bank
Mauritania,IDA only,World Bank
Malawi,IDA only,World Bank
Niger,IDA only,World Bank
Nicaragua,IDA only,World Bank
Nepal,IDA only,World Bank
Rwanda,IDA only,World Bank
Sudan,IDA only,World Bank
Senegal,IDA only,World Bank
Solomon Islands,IDA only,World Bank
Sierra Leone,IDA only,World Bank
Somalia,IDA only,World Bank
South Sudan,IDA only,World Bank
São Tomé & Príncipe,IDA only,World Bank
Syria,IDA only,World Bank
Chad,IDA only,World Bank
Togo,IDA only,World Bank
Tajikistan,IDA only,World Bank
Tonga,IDA only,World Bank
Tuvalu,IDA only,World Bank
Tanzania,IDA only,World Bank
Uganda,IDA only,World Bank
Vanuatu,IDA only,World Bank
Samoa,IDA only,World Bank
Kosovo,IDA only,World Bank
Yemen,IDA only,World Bank
Zambia,IDA only,World Bank
Aruba,Latin America & Caribbean,World Bank
Argentina,Latin America & Caribbean,World Bank
Antigua & Barbuda,Latin America & Caribbean,World Bank
Bahamas,Latin America & Caribbean,World Bank
Belize,Latin America & Caribbean,World Bank
Bolivia,Latin America & Caribbean,World Bank
Brazil,Latin America & Caribbean,World Bank
Barbados,Latin America & Caribbean,World Bank
Chile,Latin America & Caribbean,World Bank
Colombia,Latin America & Caribbean,World Bank
Costa Rica,Latin America & Caribbean,World Bank
Cuba,Latin America & Caribbean,World Bank
Curaçao,Latin America & Caribbean,World Bank
Cayman Islands,Latin America & Caribbean,World Bank
Dominica,Latin America & Caribbean,World Bank
Dominican Republic,Latin America & Caribbean,World Bank
Ecuador,Latin America & Caribbean,World Bank
Grenada,Latin America & Caribbean,World Bank
Guatemala,Latin America & Caribbean,World Bank
Guyana,Latin America & Caribbean,World Bank
Honduras,Latin America & Caribbean,World Bank
Haiti,Latin America & Caribbean,World Bank
Jamaica,Latin America & Caribbean,World Bank
St. Kitts & Nevis,Latin America & Caribbean,World Bank
St. Lucia,Latin America & Caribbean,World Bank
Saint Martin (French part),Latin America & Caribbean,World Bank
Mexico,Latin America & Caribbean,World Bank
Nicaragua,Latin America & Caribbean,World Bank
Panama,Latin America & Caribbean,World Bank
Peru,Latin America & Caribbean,World Bank
Puerto Rico,Latin America & Caribbean,World Bank
Paraguay,Latin America & Caribbean,World Bank
El Salvador,Latin America & Caribbean,World Bank
Suriname,Latin America & Caribbean,World Bank
Sint Maarten,Latin America & Caribbean,World Bank
Turks & Caicos Islands,Latin America & Caribbean,World Bank
Trinidad & Tobago,Latin America & Caribbean,World Bank
Uruguay,Latin America & Caribbean,World Bank
St. Vincent & Grenadines,Latin America & Caribbean,World Bank
Venezuela,Latin America & Caribbean,World Bank
British Virgin Islands,Latin America & Caribbean,World Bank
U.S. Virgin Islands,Latin America & Caribbean,World Bank
Afghanistan,Least developed countries: UN classification,World Bank
Angola,Least developed countries: UN classification,World Bank
Burundi,Least developed countries: UN classification,World Bank
Benin,Least developed countries: UN classification,World Bank
Burkina Faso,Least developed countries: UN classification,World Bank
Bangladesh,Least developed countries: UN classification,World Bank
Bhutan,Least developed countries: UN classification,World Bank
Central African Republic,Least developed countries: UN classification,World Bank
Congo - Kinshasa,Least developed countries: UN classification,World Bank
Comoros,Least developed countries: UN classification,World Bank
Djibouti,Least developed countries: UN classification,World Bank
Eritrea,Least developed countries: UN classification,World Bank
Ethiopia,Least developed countries: UN classification,World Bank
Guinea,Least developed countries: UN classification,World Bank
Gambia,Least developed countries: UN classification,World Bank
Guinea-Bissau,Least developed countries: UN classification,World Bank
Haiti,Least developed countries: UN classification,World Bank
Cambodia,Least developed countries: UN classification,World Bank
Kiribati,Least developed countries: UN classification,World Bank
Laos,Least developed countries: UN classification,World Bank
Liberia,Least developed countries: UN classification,World Bank
Lesotho,Least developed countries: UN classification,World Bank
Madagascar,Least developed countries: UN classification,World Bank
Mali,Least developed countries: UN classification,World Bank
Myanmar (Burma),Least developed countries: UN classification,World Bank
Mozambique,Least developed countries: UN classification,World Bank
Mauritania,Least developed countries: UN classification,World Bank
Malawi,Least developed countries: UN classification,World Bank
Niger,Least developed countries: UN classification,World Bank
Nepal,Least developed countries: UN classification,World Bank
Rwanda,Least developed countries: UN classification,World Bank
Sudan,Least developed countries: UN classification,World Bank
Senegal,Least developed countries: UN classification,World Bank
Solomon Islands,Least developed countries: UN classification,World Bank
Sierra Leone,Least developed countries: UN classification,World Bank
Somalia,Least developed countries: UN classification,World Bank
South Sudan,Least developed countries: UN classification,World Bank
São Tomé & Príncipe,Least developed countries: UN classification,World Bank
Chad,Least developed countries: UN classification,World Bank
Togo,Least developed countries: UN classification,World Bank
Timor-Leste,Least developed countries: UN classification,World Bank
Tuvalu,Least developed countries: UN classification,World Bank
Tanzania,Least developed countries: UN classification,World Bank
Uganda,Least developed countries: UN classification,World Bank
Vanuatu,Least developed countries: UN classification,World Bank
Yemen,Least developed countries: UN classification,World Bank
Zambia,Least developed countries: UN classification,World Bank
Aruba,Late-demographic dividend,World Bank
Albania,Late-demographic dividend,World Bank
United Arab Emirates,Late-demographic dividend,World Bank
Armenia,Late-demographic dividend,World Bank
Azerbaijan,Late-demographic dividend,World Bank
Bahamas,Late-demographic dividend,World Bank
Brazil,Late-demographic dividend,World Bank
Brunei,Late-demographic dividend,World Bank
Chile,Late-demographic dividend,World Bank
China,Late-demographic dividend,World Bank
Colombia,Late-demographic dividend,World Bank
Costa Rica,Late-demographic dividend,World Bank
Cyprus,Late-demographic dividend,World Bank
Estonia,Late-demographic dividend,World Bank
Fiji,Late-demographic dividend,World Bank
Georgia,Late-demographic dividend,World Bank
Guam,Late-demographic dividend,World Bank
Guyana,Late-demographic dividend,World Bank
Ireland,Late-demographic dividend,World Bank
Iceland,Late-demographic dividend,World Bank
Jamaica,Late-demographic dividend,World Bank
Kazakhstan,Late-demographic dividend,World Bank
Kyrgyzstan,Late-demographic dividend,World Bank
Kuwait,Late-demographic dividend,World Bank
Lebanon,Late-demographic dividend,World Bank
St. Lucia,Late-demographic dividend,World Bank
Sri Lanka,Late-demographic dividend,World Bank
Latvia,Late-demographic dividend,World Bank
Morocco,Late-demographic dividend,World Bank
Moldova,Late-demographic dividend,World Bank
North Macedonia,Late-demographic dividend,World Bank
Montenegro,Late-demographic dividend,World Bank
Mongolia,Late-demographic dividend,World Bank
Mauritius,Late-demographic dividend,World Bank
Malaysia,Late-demographic dividend,World Bank
New Caledonia,Late-demographic dividend,World Bank
Oman,Late-demographic dividend,World Bank
Poland,Late-demographic dividend,World Bank
Puerto Rico,Late-demographic dividend,World Bank
North Korea,Late-demographic dividend,World Bank
French Polynesia,Late-demographic dividend,World Bank
Qatar,Late-demographic dividend,World Bank
Romania,Late-demographic dividend,World Bank
Russia,Late-demographic dividend,World Bank
Serbia,Late-demographic dividend,World Bank
Slovakia,Late-demographic dividend,World Bank
Seychelles,Late-demographic dividend,World Bank
Thailand,Late-demographic dividend,World Bank
Trinidad & Tobago,Late-demographic dividend,World Bank
Tunisia,Late-demographic dividend,World Bank
Uruguay,Late-demographic dividend,World Bank
St. Vincent & Grenadines,Late-demographic dividend,World Bank
U.S. Virgin Islands,Late-demographic dividend,World Bank
Vietnam,Late-demographic dividend,World Bank
United Arab Emirates,Middle East & North Africa,World Bank
Bahrain,Middle East & North Africa,World Bank
Djibouti,Middle East & North Africa,World Bank
Algeria,Middle East & North Africa,World Bank
Egypt,Middle East & North Africa,World Bank
Iran,Middle East & North Africa,World Bank
Iraq,Middle East & North Africa,World Bank
Israel,Middle East & North Africa,World Bank
Jordan,Middle East & North Africa,World Bank
Kuwait,Middle East & North Africa,World Bank
Lebanon,Middle East & North Africa,World Bank
Libya,Middle East & North Africa,World Bank
Morocco,Middle East & North Africa,World Bank
Malta,Middle East & North Africa,World Bank
Oman,Middle East & North Africa,World Bank
Palestinian Territories,Middle East & North Africa,World Bank
Qatar,Middle East & North Africa,World Bank
Saudi Arabia,Middle East & North Africa,World Bank
Syria,Middle East & North Africa,World Bank
Tunisia,Middle East & North Africa,World Bank
Yemen,Middle East & North Africa,World Bank
Bermuda,North America,World Bank
Canada,North America,World Bank
United States,North America,World Bank
Australia,OECD members,World Bank
Austria,OECD members,World Bank
Belgium,OECD members,World Bank
Canada,OECD members,World Bank
Switzerland,OECD members,World Bank
Chile,OECD members,World Bank
Colombia,OECD members,World Bank
Czechia,OECD members,World Bank
Germany,OECD members,World Bank
Denmark,OECD members,World Bank
Spain,OECD members,World Bank
Estonia,OECD members,World Bank
Finland,OECD members,World Bank
France,OECD members,World Bank
United Kingdom,OECD members,World Bank
Greece,OECD members,World Bank
Hungary,OECD members,World Bank
Ireland,OECD members,World Bank
Iceland,OECD members,World Bank
Israel,OECD members,World Bank
Italy,OECD members,World Bank
Japan,OECD members,World Bank
South Korea,OECD members,World Bank
Lithuania,OECD members,World Bank
Luxembourg,OECD members,World Bank
Latvia,OECD members,World Bank
Mexico,OECD members,World Bank
Netherlands,OECD members,World Bank
Norway,OECD members,World Bank
New Zealand,OECD members,World Bank
Poland,OECD members,World Bank
Portugal,OECD members,World Bank
Slovakia,OECD members,World Bank
Slovenia,OECD members,World Bank
Sweden,OECD members,World Bank
Turkey,OECD members,World Bank
United States,OECD members,World Bank
Bahrain,Other small states,World Bank
Brunei,Other small states,World Bank
Bhutan,Other small states,World Bank
Botswana,Other small states,World Bank
Comoros,Other small states,World Bank
Cape Verde,Other small states,World Bank
Cyprus,Other small states,World Bank
Djibouti,Other small states,World Bank
Estonia,Other small states,World Bank
Gabon,Other small states,World Bank
Gambia,Other small states,World Bank
Guinea-Bissau,Other small states,World Bank
Equatorial Guinea,Other small states,World Bank
Iceland,Other small states,World Bank
Lesotho,Other small states,World Bank
Maldives,Other small states,World Bank
Malta,Other small states,World Bank
Montenegro,Other small states,World Bank
Mauritius,Other small states,World Bank
Namibia,Other small states,World Bank
Qatar,Other small states,World Bank
San Marino,Other small states,World Bank
São Tomé & Príncipe,Other small states,World Bank
Eswatini,Other small states,World Bank
Seychelles,Other small states,World Bank
Timor-Leste,Other small states,World Bank
Afghanistan,Pre-demographic dividend,World Bank
Angola,Pre-demographic dividend,World Bank
Burundi,Pre-demographic dividend,World Bank
Benin,Pre-demographic dividend,World Bank
Burkina Faso,Pre-demographic dividend,World Bank
Central African Republic,Pre-demographic dividend,World Bank
Côte d’Ivoire,Pre-demographic dividend,World Bank
Cameroon,Pre-demographic dividend,World Bank
Congo - Kinshasa,Pre-demographic dividend,World Bank
Congo - Brazzaville,Pre-demographic dividend,World Bank
Comoros,Pre-demographic dividend,World Bank
Eritrea,Pre-demographic dividend,World Bank
Guinea,Pre-demographic dividend,World Bank
Gambia,Pre-demographic dividend,World Bank
Guinea-Bissau,Pre-demographic dividend,World Bank
Equatorial Guinea,Pre-demographic dividend,World Bank
Iraq,Pre-demographic dividend,World Bank
Kenya,Pre-demographic dividend,World Bank
Liberia,Pre-demographic dividend,World Bank
Madagascar,Pre-demographic dividend,World Bank
Mali,Pre-demographic dividend,World Bank
Mozambique,Pre-demographic dividend,World Bank
Mauritania,Pre-demographic dividend,World Bank
Malawi,Pre-demographic dividend,World Bank
Niger,Pre-demographic dividend,World Bank
Nigeria,Pre-demographic dividend,World Bank
Sudan,Pre-demographic dividend,World Bank
Senegal,Pre-demographic dividend,World Bank
Sierra Leone,Pre-demographic dividend,World Bank
Somalia,Pre-demographic dividend,World Bank
South Sudan,Pre-demographic dividend,World Bank
Chad,Pre-demographic dividend,World Bank
Togo,Pre-demographic dividend,World Bank
Timor-Leste,Pre-demographic dividend,World Bank
Tanzania,Pre-demographic dividend,World Bank
Uganda,Pre-demographic dividend,World Bank
Zambia,Pre-demographic dividend,World Bank
Fiji,Pacific island small states,World Bank
Micronesia (Federated States of),Pacific island small states,World Bank
Kiribati,Pacific island small states,World Bank
Marshall Islands,Pacific island small states,World Bank
Nauru,Pacific island small states,World Bank
Palau,Pacific island small states,World Bank
Solomon Islands,Pacific island small states,World Bank
Tonga,Pacific island small states,World Bank
Tuvalu,Pacific island small states,World Bank
Vanuatu,Pacific island small states,World Bank
Samoa,Pacific island small states,World Bank
Antigua & Barbuda,Post-demographic dividend,World Bank
Australia,Post-demographic dividend,World Bank
Austria,Post-demographic dividend,World Bank
Belgium,Post-demographic dividend,World Bank
Bulgaria,Post-demographic dividend,World Bank
Bosnia & Herzegovina,Post-demographic dividend,World Bank
Belarus,Post-demographic dividend,World Bank
Barbados,Post-demographic dividend,World Bank
Canada,Post-demographic dividend,World Bank
Switzerland,Post-demographic dividend,World Bank
Cuba,Post-demographic dividend,World Bank
Czechia,Post-demographic dividend,World Bank
Germany,Post-demographic dividend,World Bank
Denmark,Post-demographic dividend,World Bank
